exp,arm,x_label,x_value,trial,sync_ms,bytes_sent,file_size,change_size,repeats,verify_mismatch,capture_lost
a2,ebpf,file_size_mb,10,0,10.307,4176,10485760,4096,1,0,0
a2,ebpf,file_size_mb,50,0,9.941,4176,52428800,4096,1,0,0
a2,ebpf,file_size_mb,200,0,9.925,4176,209715200,4096,1,0,0
a2,ebpf,file_size_mb,500,0,10.382,4176,524288000,4096,1,0,0
a2,ebpf,file_size_mb,1000,0,10.219,4176,1048576000,4096,1,0,0
a2,rsync,file_size_mb,10,0,75.777,19561,10485760,4096,1,0,0
a2,rsync,file_size_mb,50,0,161.067,43565,52428800,4096,1,0,0
a2,rsync,file_size_mb,200,0,466.779,72541,209715200,4096,1,0,0
a2,rsync,file_size_mb,500,0,1039.91,114622,524288000,4096,1,0,0
a2,rsync,file_size_mb,1000,0,1990.318,162058,1048576000,4096,1,0,0
a2,ebpf,file_size_mb,10,1,10.194,4176,10485760,4096,1,0,0
a2,ebpf,file_size_mb,50,1,9.938,4176,52428800,4096,1,0,0
a2,ebpf,file_size_mb,200,1,10.314,4176,209715200,4096,1,0,0
a2,ebpf,file_size_mb,500,1,9.983,4176,524288000,4096,1,0,0
a2,ebpf,file_size_mb,1000,1,10.084,4176,1048576000,4096,1,0,0
a2,rsync,file_size_mb,10,1,75.92,19561,10485760,4096,1,0,0
a2,rsync,file_size_mb,50,1,160.336,43565,52428800,4096,1,0,0
a2,rsync,file_size_mb,200,1,460.966,72541,209715200,4096,1,0,0
a2,rsync,file_size_mb,500,1,1009.72,114622,524288000,4096,1,0,0
a2,rsync,file_size_mb,1000,1,1982.933,162058,1048576000,4096,1,0,0
a2,ebpf,file_size_mb,10,2,10.303,4176,10485760,4096,1,0,0
a2,ebpf,file_size_mb,50,2,10.159,4176,52428800,4096,1,0,0
a2,ebpf,file_size_mb,200,2,9.931,4176,209715200,4096,1,0,0
a2,ebpf,file_size_mb,500,2,10.195,4176,524288000,4096,1,0,0
a2,ebpf,file_size_mb,1000,2,10.187,4176,1048576000,4096,1,0,0
a2,rsync,file_size_mb,10,2,75.642,19561,10485760,4096,1,0,0
a2,rsync,file_size_mb,50,2,162.03,43565,52428800,4096,1,0,0
a2,rsync,file_size_mb,200,2,467.656,72541,209715200,4096,1,0,0
a2,rsync,file_size_mb,500,2,1037.458,114622,524288000,4096,1,0,0
a2,rsync,file_size_mb,1000,2,1991.363,162058,1048576000,4096,1,0,0
